Tm,Win_Pct,Pts_For,Pts_Against,PD,SOS,Year
AFC East,AFC East,AFC East,AFC East,AFC East,,2005
New England Patriots*,.625,379,338,41,,2005
Miami Dolphins,.563,318,317,1,,2005
Buffalo Bills,.313,271,367,-96,,2005
New York Jets,.250,240,355,-115,,2005
AFC North,AFC North,AFC North,AFC North,AFC North,,2005
Cincinnati Bengals*,.688,421,350,71,,2005
Pittsburgh Steelers+,.688,389,258,131,,2005
Baltimore Ravens,.375,265,299,-34,,2005
Cleveland Browns,.375,232,301,-69,,2005
AFC South,AFC South,AFC South,AFC South,AFC South,,2005
Indianapolis Colts*,.875,439,247,192,,2005
Jacksonville Jaguars+,.750,361,269,92,,2005
Tennessee Titans,.250,299,421,-122,,2005
Houston Texans,.125,260,431,-171,,2005
AFC West,AFC West,AFC West,AFC West,AFC West,,2005
Denver Broncos*,.813,395,258,137,,2005
Kansas City Chiefs,.625,403,325,78,,2005
San Diego Chargers,.563,418,312,106,,2005
Oakland Raiders,.250,290,383,-93,,2005
NFC East,NFC East,NFC East,NFC East,NFC East,,2005
New York Giants*,.688,422,314,108,,2005
Washington Redskins+,.625,359,293,66,,2005
Dallas Cowboys,.563,325,308,17,,2005
Philadelphia Eagles,.375,310,388,-78,,2005
NFC North,NFC North,NFC North,NFC North,NFC North,,2005
Chicago Bears*,.688,260,202,58,,2005
Minnesota Vikings,.563,306,344,-38,,2005
Detroit Lions,.313,254,345,-91,,2005
Green Bay Packers,.250,298,344,-46,,2005
NFC South,NFC South,NFC South,NFC South,NFC South,,2005
Tampa Bay Buccaneers*,.688,300,274,26,,2005
Carolina Panthers+,.688,391,259,132,,2005
Atlanta Falcons,.500,351,341,10,,2005
New Orleans Saints,.188,235,398,-163,,2005
NFC West,NFC West,NFC West,NFC West,NFC West,,2005
Seattle Seahawks*,.813,452,271,181,,2005
St. Louis Rams,.375,363,429,-66,,2005
Arizona Cardinals,.313,311,387,-76,,2005
San Francisco 49ers,.250,239,428,-189,,2005
AFC East,AFC East,AFC East,AFC East,AFC East,,2006
New England Patriots*,.750,385,237,148,,2006
New York Jets+,.625,316,295,21,,2006
Buffalo Bills,.438,300,311,-11,,2006
Miami Dolphins,.375,260,283,-23,,2006
AFC North,AFC North,AFC North,AFC North,AFC North,,2006
Baltimore Ravens*,.813,353,201,152,,2006
Cincinnati Bengals,.500,373,331,42,,2006
Pittsburgh Steelers,.500,353,315,38,,2006
Cleveland Browns,.250,238,356,-118,,2006
AFC South,AFC South,AFC South,AFC South,AFC South,,2006
Indianapolis Colts*,.750,427,360,67,,2006
Tennessee Titans,.500,324,400,-76,,2006
